id,date,subscription_id,processor_id,processor_account_id,amount,currency,country
176638,3/1/16,491052,200,10094,49.99,USD,US
177250,3/1/16,491202,100,10019,49.99,USD,CO
178945,3/1/16,491615,100,10019,49.99,EUR,FR
179330,3/1/16,491706,200,10029,49.99,EUR,FR
179347,3/1/16,491708,200,10072,49.99,USD,CO
179574,3/1/16,491766,100,10019,49.99,USD,US
179994,3/1/16,491858,200,10094,49.99,EUR,CH
180208,3/1/16,491909,200,10094,49.99,EUR,DE
180829,3/1/16,492036,100,10019,49.99,EUR,FR
182093,3/1/16,492323,200,10094,49.99,EUR,DK
182983,3/1/16,492500,200,10094,49.99,USD,HK
183406,3/1/16,492615,100,10036,49.99,EUR,DE
183776,3/1/16,492714,100,10019,49.99,USD,US
183788,3/1/16,492716,200,10094,49.99,EUR,DE
183938,3/1/16,492750,200,10072,49.99,EUR,TR
184283,3/1/16,492814,200,10094,49.99,USD,PA
184783,3/1/16,492917,200,10094,49.99,EUR,DE
185225,3/1/16,493027,100,10036,49.99,EUR,DE
186029,3/1/16,493244,200,10094,49.99,EUR,DE
186604,3/1/16,493362,200,10094,49.99,USD,US
186833,3/1/16,493408,100,10019,49.99,USD,US
187212,3/1/16,493492,100,10019,49.99,USD,MX
187214,3/1/16,493493,100,10019,49.99,USD,US
187217,3/1/16,493494,200,10030,49.99,USD,US
187441,3/1/16,493546,100,10019,49.99,USD,US
187789,3/1/16,493598,100,10019,49.99,USD,US
188118,3/1/16,493677,25,10033,49.99,EUR,AT
188165,3/1/16,493691,200,10029,49.99,EUR,PT
188428,3/2/16,493763,100,10019,49.99,EUR,IT
188837,3/2/16,493890,200,10094,49.99,USD,US
189308,3/2/16,494018,100,10019,49.99,USD,US
189704,3/2/16,494145,100,10019,49.99,USD,US
190642,3/2/16,494492,200,10094,49.99,EUR,DE
191040,3/2/16,494616,200,10030,49.99,USD,US
191347,3/2/16,494707,100,10036,49.99,EUR,DE
191693,3/2/16,494822,200,10094,49.99,EUR,DE
191782,3/2/16,494839,100,10036,49.99,EUR,NL
191977,3/2/16,494876,100,10019,49.99,EUR,DE
192304,3/2/16,494970,100,10019,49.99,EUR,DK
192331,3/2/16,494974,100,10019,49.99,EUR,BE
192364,3/2/16,494986,200,10094,49.99,EUR,DE
192839,3/2/16,495126,200,10094,49.99,EUR,FR
193169,3/2/16,495205,100,10019,49.99,EUR,DK
193191,3/2/16,495214,200,10094,49.99,USD,US
193326,3/2/16,495261,100,10019,49.99,USD,MX
193426,3/2/16,495301,200,10094,49.99,EUR,DE
193613,3/2/16,495353,200,10094,49.99,EUR,CH
193797,3/2/16,495401,200,10094,49.99,EUR,SE
193890,3/2/16,495421,200,10030,49.99,USD,US
193958,3/2/16,495431,200,10094,49.99,USD,AU
194222,3/2/16,495502,200,10094,49.99,USD,US
194732,3/2/16,495654,100,10019,49.99,USD,US
194740,3/2/16,495658,100,10019,49.99,EUR,IT
194910,3/2/16,495713,100,10019,49.99,USD,US
195103,3/2/16,495770,100,10019,49.99,EUR,IT
195473,3/2/16,495889,100,10019,49.99,EUR,NL
195529,3/2/16,495907,200,10094,49.99,USD,US
195582,3/2/16,495922,100,10019,49.99,USD,US
195586,3/2/16,495924,100,10019,49.99,USD,US
195815,3/2/16,495978,100,10019,49.99,GBP,GB
195897,3/2/16,496006,200,10029,49.99,EUR,DK
195910,3/2/16,496018,100,10036,49.99,EUR,DE
196280,3/2/16,496124,100,10019,49.99,USD,CA
197033,3/2/16,496351,25,10033,49.99,EUR,DE
197495,3/3/16,496499,100,10019,49.99,USD,AU
197719,3/3/16,496581,100,10019,49.99,USD,HK
197978,3/3/16,496671,200,10029,49.99,EUR,DK
198455,3/3/16,496820,200,10094,49.99,USD,IN
198472,3/3/16,496825,200,10094,49.99,USD,US
199065,3/3/16,497034,100,10019,49.99,USD,US
199456,3/3/16,497142,100,10019,49.99,USD,US
199651,3/3/16,497201,200,10094,49.99,USD,US
199713,3/3/16,497217,100,10019,49.99,EUR,LV
199722,3/3/16,497222,200,10094,49.99,EUR,CH
200104,3/3/16,497330,200,10029,49.99,EUR,FR
200159,3/3/16,497338,100,10019,49.99,USD,AE
200161,3/3/16,497340,200,10094,49.99,EUR,DE
200163,3/3/16,497342,200,10028,49.99,GBP,GB
200197,3/3/16,497349,100,10038,49.99,USD,KR
200481,3/3/16,497435,200,10072,49.99,EUR,IS
200515,3/3/16,497441,200,10094,49.99,EUR,CH
